name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
Itel Vison 3,16/05/23,False,,15490.0,15490.0,0.0,"[0, 0, 0, 0, 0]",,Itel,124829708_NP-1033909918,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5 mp,8mp,3,Glass,2023,4G,yes 18 watt fast charging,No,2,,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Rear,Yes,Dedicated,HD,Android 11,Yes,,Yes,IPS LCD,Octa-core,Not Specified,,
OPPO F21 PRO 8GB RAM 128GB ROM 64MP,16/05/23,True,-0%,40000.0,39990.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,118241839_NP-1032403952,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,32mp,64mp+2mp+2mp,4,Not Specified,2022,4G,33w Fast Charging,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Oppo A17 4GB Ram 64GB Rom 5000mah Battery 50mp Dual Camera Andriod 12,16/05/23,True,-5%,20990.0,19900.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,123794728_NP-1033611356,5000 - 5999 mAh,6.6 - 7 Inch,Not Specified,5mp,50mp,3,Not Specified,2022,4G,10w,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Green Samsung Galaxy M33 ,16/05/23,False,,35999.0,35999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127282365_NP-1034509652,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,5,Corning Gorilla Glass,2023,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Oneplus Nord CE 2 Lite 8GB RAM 128GB ROM,16/05/23,False,,40999.0,40999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,119517060_NP-1032713458,5000 - 5999 mAh,,Glass,16,64+2+2,4,Not Specified,2022,4G,33W,Not Specified,2,400-500 PPI,Type-C,Yes,Yes,Yes,,No,,,,,,,,,,,,,,120 Hz,,
Infinix HOT 12i ,16/05/23,False,,15599.0,15599.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,120076718_NP-1032810556,4000 - 4999 mAh,6.6 - 7 Inch,Plastic,8,13,4,Glass,2022,"4G,GSM,3G,2G",No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Z Fold 3 5G 12,16/05/23,False,,165000.0,165000.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,111458075_NP-1030189623,5000 - 5999 mAh,6.6 - 7 Inch,Ceramic,16,48,5,Gorilla Glass Victus,2021,5G,Yes,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
Brown Samsung Galaxy M33 ,16/05/23,False,,35999.0,35999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127286251_NP-1034501425,Not Specified,6.1 - 6.5 Inch,Not Specified,Not Specified,Not Specified,5,Corning Gorilla Glass,2023,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,Not Specified,,,
Samsung Galaxy A04S ,16/05/23,False,,21999.0,21999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,119571990_NP-1032722631,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,5,50+2+2,3,Corning Gorilla Glass 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP 5 LTE ,16/05/23,False,,13990.0,13990.0,0.0,"[0, 0, 0, 0, 0]",,Tecno,125450934_NP-1034043101,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP Dual Camera,2,Glass,2022,"4G,GSM,3G,2G",18W Charger,No,2,,Micro USB,Yes,Yes,Yes,,No,Yes,Yes,No,Rear,Yes,Dedicated,720p,Android,No,,Yes,IPS LCD,Quad-core,Not Specified,,
Samsung Galaxy MediaTek Helio P35 A03S ,16/05/23,False,,15499.0,15499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,122721994_NP-1033361965,5000 - 5999 mAh,6.1 - 6.5 Inch,Glass,5MP,13MP,4,Glass,Not Specified,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Kivi O6 Smartphone 4G 2GB 16GB,16/05/23,True,-4%,7000.0,6700.0,0.0,"[0, 0, 0, 0, 0]",,Kivi,127273476_NP-1034506959,2000 - 2999 mAh,4.6 - 5 Inch,Plastic,2,5,2,Not Specified,Not Specified,"4G,GSM,3G,2G",No,No,2,,,,,,,,,,,,,,,,,,,,,,,"1year on Set, 6 Months on battery"
Honor X7 ,16/05/23,True,-12%,24990.0,21990.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126934400_NP-1034385937,5000 - 5999 mAh,6.6 - 7 Inch,Glass,8 MP,48 MP+5 MP+2 MP+2 MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,,,Side Mounted,Yes,,,,,,,,,,,"Authorised Service Center, CTC Mall, 5th Floor"
symphony z45  4gb RAM ,16/05/23,True,-17%,16499.0,13699.0,0.0,"[0, 0, 0, 0, 0]",,Symphony,125187806_NP-1034027487,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8mp,13mp,3,Glass,2022,4G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Honor X7 ,16/05/23,False,,24999.0,24999.0,0.0,"[0, 0, 0, 0, 0]",,Honor,116247240_NP-1031796505,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8MP,48MP+5MP+2MP+2MP,5,Corning Gorilla Glass 1,2022,"4G,GSM,3G,2G",22.5W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,Yes,Shared,1080p,Android,Yes,CMA-LX2,Yes,IPS LCD,Octa-core,90 Hz,HD,
Phantom X ,16/05/23,False,,64990.0,64990.0,0.0,"[0, 0, 0, 0, 0]",,Tecno,125455045_NP-1034043012,4000 - 4999 mAh,6.6 - 7 Inch,Glass,48MP Clearest Selfie Camera,50MP Ultra Night Triple Camera,3,Corning Gorilla Glass 5,2021,"4G,GSM,3G,2G",33W Super Charger,No,2,,Type-C,Yes,,Yes,Nano,No,Yes,Yes,,On-Screen,Yes,Dedicated,Full HD,Android,Yes,,Yes,,Octa-core,90 Hz,,
VIVO Y35 8,16/05/23,True,-2%,30999.0,30499.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,120269197_NP-1032847135,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,16,50+2+2,3,Glasstic,2022,"4G,GSM,3G",44w,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,Full HD,Android,Yes,Vivo Y35,Yes,IPS LCD,Octa-core,90 Hz,"HD,Full HD",
Samsung Galaxy A04s ,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,123847443_NP-1033626161,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,5,50,3,Not Specified,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
OnePlus 9 Pro 5G ,16/05/23,False,,119990.0,119990.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,108141265_NP-1030088988,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16 MP,48 MP,4,Corning Gorilla Glass 5,2021,GSM,Yes,Yes,2,Above 500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,No,Not Specified,4K,Android 9 (Pie),Yes,,Yes,AMOLED,Snapdragon 888,Above 90 Hz,Full HD,
Samsung F13 ,16/05/23,False,,23999.0,23999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118955096_NP-1032577280,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,8,50,4,Corning Gorilla Glass 2,2022,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S23 Plus 5G ,16/05/23,False,,151999.0,151999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,124301555_NP-1033879223,4000 - 4999 mAh,6.6 - 7 Inch,Glass,12,50,4,Gorilla Glass Victus,2023,"4G,5G",45W Super Fast Charging,Yes,2,Above 500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,No,,2160p,Android,Yes,S23 PLUS 5G,No,Super AMOLED,Octa-core,120 Hz,"HD,Full HD,Ultra HD,4K",
vivo Y22 50MP Rear Camera,16/05/23,False,,22999.0,22999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,124609212_NP-1033847256,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8MP,50MP+2MP,3,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
OPPO A77 4GB Ram 128GB Rom 50MP Camera 5000mah Battery With 33w Fast Charging Android 12 With ColorOS 12,16/05/23,True,-2%,26000.0,25500.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,117975859_NP-1032353567,6000 - 6999 mAh,6.1 - 6.5 Inch,Not Specified,8mp,50+2mp,3,Not Specified,2022,4G,33w Fast Charging,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A03S ,16/05/23,False,,17500.0,17500.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118949914_NP-1032926656,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,13,4,Corning Gorilla Glass 2,2022,4G,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Honor X9A 5G ,16/05/23,True,-0.4%,45990.0,45790.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126921990_NP-1034416269,5000 - 5999 mAh,6.6 - 7 Inch,Glass,16 MP,64MP+5MP+2MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA,5G",40 Watt,No,2,Above 500 PPI,Type-C,,,Yes,,No,Yes,,Yes,On-Screen,,,,,,,,,,120 Hz,,"Authorised Service Center, CTC Mall, 5th Floor"
Samsung Galaxy M32 ,16/05/23,False,,28999.0,28999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,120051542_NP-1032813143,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,20 MP,Not Specified,4,Corning Gorilla Glass 5,2021,"4G,GSM",Yes,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,M32 4G,Yes,AMOLED,Octa-core,90 Hz,"HD,Full HD",
Micromax IN 2B ,16/05/23,False,,15999.0,15999.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,125346782_NP-1034024255,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,13,3,Glass,2021,GSM,No,No,2,,,,,,,,,,,,,,,,,,,,,,,
Infinix Smart 6 HD ,16/05/23,True,-2%,11999.0,11799.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,119023133_NP-1032583992,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,0.8 MP,8 MP,2,Plastic,2022,4G,Yes,No,2,,Micro USB,Yes,Yes,Yes,,,Yes,Yes,,Rear,Yes,,1080p,Android,Yes,X6511,Yes,IPS LCD,Octa-core,,Full HD,
Realmi Narzo 50 6,16/05/23,False,,27499.0,27499.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,120861528_NP-1033459043,5000 - 5999 mAh,6.6 - 7 Inch,Ceramic,8mp,50mp,4,Glass,2022,4G,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Z Fold 3 5G  Free Original Cover and S,16/05/23,True,-22%,229999.0,179999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,113936882_NP-1030988529,4000 - 4999 mAh,6.6 - 7 Inch,Metal,"10MP Cover, 4MP Under Display",12,5,Gorilla Glass Victus,2021,"4G,GSM,5G",25W,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
Vivo Y22 ,16/05/23,False,,22990.0,22990.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,122315044_NP-1033239094,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,50,4,Plastic,2022,"4G,GSM,3G",18W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,Y22,Yes,LCD,Octa-core,60 Hz,"HD,Full HD",
Oneplus 10T 8,16/05/23,True,-1%,94999.0,93999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,123541617_NP-1033563804,4000 - 4999 mAh,6.6 - 7 Inch,Glass,32mp,50mp,4,Corning Gorilla Glass 5,2023,"4G,3G,2G,5G",yes 150w,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A33 5G ,16/05/23,False,,42500.0,42500.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118949920_NP-1032572861,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,13,48,5,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
OPPO F21 PRO ,16/05/23,True,-8%,44999.0,41499.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,123183202_NP-1033472192,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,32 mp,64 mp,4,Corning Gorilla Glass 5,,"4G,3G,2G,5G",yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A33 ,16/05/23,False,,42999.0,42999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,121056446_NP-1032965929,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,13,48,5,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung A23 ,16/05/23,False,,25999.0,25999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,118951747_NP-1032577281,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,8,50,5,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Figi Note 1 ,16/05/23,False,,12800.0,12800.0,0.0,"[0, 0, 0, 0, 0]",,figi,107626153_NP-1028934044,4000 - 4999 mAh,6.6 - 7 Inch,Plastic,5 MP,13 MP,2,Glass,2021,Not Specified,Yes,No,2,,,,,,,No,Yes,Yes,,Rear,Yes,Dedicated,Full HD,Android,Yes,NOTE 1,Yes,,Helio P25,,,
Samsung Galaxy S20,16/05/23,False,,126999.0,126999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,104132496_NP-1024960865,Not Specified,6.1 - 6.5 Inch,Glass,,,4,Corning Gorilla Glass 6,2020,,Yes,No,,,,,,,,,,,,,,,Not Specified,Android,,,,,Not Specified,,,
Oneplus Nord 2 5G ,16/05/23,False,,69999.0,69999.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,111445393_NP-1030185895,4000 - 4999 mAh,6.1 - 6.5 Inch,Glass,32,50,4,Corning Gorilla Glass 5,2021,"4G,GSM,5G",Yes,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,,On-Screen,Yes,Shared,4K,Android,Yes,DN2103,No,AMOLED,Not Specified,120 Hz,Ultra HD,
realme narzo 50i Prime ,16/05/23,False,,14499.0,14499.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,121385899_NP-1033047557,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5 MP,8 MP,1,Not Specified,2022,,No,No,2,,Micro USB,Yes,Yes,Yes,Nano,,Yes,Yes,,No Fingerprint Sensor,Yes,Not Specified,1080p,Android 11,Not Specified,2022,Not Specified,IPS LCD,,Not Specified,,
Realme Narzo 50 ,16/05/23,True,-5%,27499.0,26000.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,120075935_NP-1032810456,Not Specified,Not Specified,Plastic,Not Specified,Not Specified,2,Corning Gorilla Glass,2021,4G,Not Specified,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Apple iPhone 14 Plus ,16/05/23,True,-8%,192990.0,176990.0,0.0,"[0, 0, 0, 0, 0]",,Apple,122716477_NP-1033794116,Not Specified,6.6 - 7 Inch,Glass,12,12,2,Not Specified,2022,5G,minimum 1 hour,Yes,2,,,,,,,,,,,,,,,,,,,,,,,
ZTE Blade A52 4,16/05/23,False,,17599.0,17599.0,0.0,"[0, 0, 0, 0, 0]",,ZTE,118728657_NP-1032530268,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,13,4,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",no,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,No,No,Rear,Yes,Dedicated,1080p,Android,No,,Yes,,Octa-core,60 Hz,"HD,Full HD",
Oppo A16 ,16/05/23,True,-15%,22990.0,19500.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,125154998_NP-1033975734,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,13MP+2MP+2MP,4,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",Yes,No,2,200-300 PPI,,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,CPH2269,Yes,IPS LCD,Octa-core,60 Hz,HD,
Apple iPhone 14 256GB ,16/05/23,False,,157990.0,157990.0,0.0,"[0, 0, 0, 0, 0]",,Apple,125316814_NP-1034016267,3000 - 3999 mAh,6.1 - 6.5 Inch,Metal,12MP,12MP+12MP,3,Scratch Resistant Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA,5G",Yes,Yes,1,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,Side Mounted,,Not Specified,,iOS,Yes,A2882,Yes,Super AMOLED,Hexa-core,120 Hz,Full HD,
Apple iPhone 14 Pro 256GB ,16/05/23,False,,198890.0,198890.0,0.0,"[0, 0, 0, 0, 0]",,Apple,125321023_NP-1034016269,3000 - 3999 mAh,6.1 - 6.5 Inch,Metal,12MP,48MP+12MP+12MP,4,Scratch Resistant Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA,5G",20W PD,Yes,1,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,No,,On-Screen,No,Not Specified,4K,iOS,Yes,A2890,No,Super AMOLED,Hexa-core,120 Hz,Full HD,
Oppo A17k ,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,127461609_NP-1034545273,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5,8,2,Glass,2023,"4G,3G,2G",Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Apple iPhone 14 Pro ,16/05/23,True,-8%,194990.0,180190.0,0.0,"[0, 0, 0, 0, 0]",,Apple,122784764_NP-1033382297,3000 - 3999 mAh,6.1 - 6.5 Inch,Glass,12,48,4,Scratch Resistant Glass,2022,"4G,5G",Supported,No,1,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,No Fingerprint Sensor,No,Not Specified,2160p,iOS,Yes,iPhone 14 Pro,No,OLED,Hexa-core,120 Hz,"HD,Full HD,4K",
Samsung Galaxy A14 5G ,16/05/23,False,,27999.0,27999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126343095_NP-1034238014,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,13MP,50MP,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Nokia C1 2nd Edition ,16/05/23,True,-11%,7499.0,6640.0,0.0,"[0, 0, 0, 0, 0]",,Nokia,109732900_NP-1029720687,Not Specified,5.1 - 5.5 Inch,Plastic,Not Specified,Not Specified,2,Glass,2021,Not Specified,No,No,Not Specified,,,,,,,,,,,,,,Not Specified,Android 11,,,,,Not Specified,,,
Itel A17 Mobile Phone 1GB RAM,16/05/23,True,-1%,6999.0,6899.0,0.0,"[0, 0, 0, 0, 0]",,Itel,117653819_NP-1032260185,2000 - 2999 mAh,4.6 - 5 Inch,Plastic,2mp,5mp,2,Not Specified,2021,"3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Oppo A57 6 4,16/05/23,False,,23500.0,23500.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,125693558_NP-1034075950,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,Front Camera: 8MP,"Rear Camera:Dual-camera;
– 13MP primary
– 2MP",2,Glass,2023,4G,33w,No,2,,,,,,,,,,,,,,,,,,,,,,,
INFINIX SMART 6 HD 2,16/05/23,True,-9%,12999.0,11799.0,0.0,"[0, 0, 0, 0, 0]",,Infinix,120291956_NP-1032841973,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5,8,2,Glass,2022,"4G,GSM,3G",NO,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme C30 ,16/05/23,True,-3%,14499.0,14000.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,120489244_NP-1032882273,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP AI,2,Glass,2021,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,300-400 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,RMX3581,Yes,IPS LCD,Octa-core,,HD,
vivo Y15S,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,124650441_NP-1033859201,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,8MP,13MP+2MP,3,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A34 5G ,16/05/23,False,,45999.0,45999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126347696_NP-1034527922,4000 - 4999 mAh,6.6 - 7 Inch,Not Specified,13MP,48MP,3,Not Specified,2023,5G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Apple iPhone 14 Plus ,16/05/23,True,-9%,173990.0,157990.0,0.0,"[0, 0, 0, 0, 0]",,Apple,122772388_NP-1033401556,4000 - 4999 mAh,6.6 - 7 Inch,Glass,12,12,3,Scratch Resistant Glass,2022,"4G,5G",Supported,Yes,1,400-500 PPI,Lightning,Yes,Yes,Yes,Nano,Yes,Yes,Yes,Yes,No Fingerprint Sensor,No,,2160p,iOS,Yes,iPhone 14 Plus,No,OLED,Hexa-core,120 Hz,"HD,Full HD,4K",
One pluse N20Se,16/05/23,False,,23499.0,23499.0,0.0,"[0, 0, 0, 0, 0]",,OnePlus,120874868_NP-1033454424,4000 - 4999 mAh,6.1 - 6.5 Inch,Ceramic,8,50,3,Glass,2022,4G,yes,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Tecno Spark7T ,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,Tecno,108023652_NP-1029095209,6000 - 6999 mAh,6.1 - 6.5 Inch,Plastic,8 MP,48 MP,2,Glass,2021,3G,Yes,No,2,200-300 PPI,,,,,,,,,,,,,Full HD,Android 9 (Pie),Yes,Tecno Spark 7T,Yes,IPS LCD,Not Specified,,HD,
Apple iPhone 14 Plus ,16/05/23,True,-9%,173990.0,157990.0,0.0,"[0, 0, 0, 0, 0]",,Apple,122736516_NP-1033374114,4000 - 4999 mAh,6.6 - 7 Inch,Ceramic,12,12MP+12MP,2,Corning Gorilla Glass,2022,"4G,GSM,3G,2G,5G",Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,Manufacturing defects only.
Realme C31 ,16/05/23,False,,17799.0,17799.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,117574993_NP-1032234124,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5mp,13mp,3,Gorilla Glass Victus,2022,4G,10W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A14 5G ,16/05/23,True,-2%,27999.0,27499.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,125621238_NP-1034070452,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13,50,4,Corning Gorilla Glass 5,2023,"4G,5G",25W Fast Charging,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SAMSUNG A14 5G,Yes,IPS LCD,Octa-core,90 Hz,"HD,Full HD",
VIVO Y16 ,16/05/23,True,-4%,19990.0,19199.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,122290639_NP-1033242007,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,13,3,Plastic,2022,"4G,GSM,3G",10W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,Y16,Yes,LCD,Octa-core,60 Hz,"HD,Full HD",
vivo Y16,16/05/23,False,,19999.0,19999.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,124615023_NP-1033842502,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,13MP+2MP,3,Glass,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
realme C30s ,16/05/23,True,-0.7%,13499.0,13399.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,123196103_NP-1033472452,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,8mp,2,Not Specified,2023,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Galaxy A14 5G SAMSUNG  Android 13 One UI 5 ,16/05/23,False,,29999.0,29999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,126311324_NP-1034226773,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13 MP,50 MP,4,Glass,2023,"4G,3G,2G,5G",15W,No,2,,,,,,,,,,,,,,,,,,,,,,,
POP 6 ,16/05/23,False,,12490.0,12490.0,0.0,"[0, 0, 0, 0, 0]",,Tecno,125454706_NP-1034041463,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,2MP,5MP Dual Camera,2,Glass,2022,"4G,GSM,3G,2G",No,No,2,,Micro USB,Yes,Yes,Yes,Nano,No,Yes,Yes,,Rear,Yes,Dedicated,HD,Android,No,,Yes,IPS LCD,,,,
Realme Narzo  50i ,16/05/23,False,,15799.0,15799.0,0.0,"[0, 0, 0, 0, 0]",,No Brand,118949922_NP-1032572863,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5,8,2,Corning Gorilla Glass 2,2022,4G,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme Narzo 50A Prime ,16/05/23,False,,20999.0,20999.0,0.0,"[0, 0, 0, 0, 0]",,narzo by realme,117769260_NP-1032765091,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8 MP,50 MP,3,Not Specified,2022,Not Specified,Yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Honor X8A ,16/05/23,True,-0.4%,30490.0,30375.0,0.0,"[0, 0, 0, 0, 0]",,Honor,126931382_NP-1034432055,4000 - 4999 mAh,6.6 - 7 Inch,Glass,16 MP,100MP+2MP+2MP,4,Glass,2023,"4G,GSM,3G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,,No,Yes,,,Side Mounted,Yes,,,,,,,,,,,"Authorised Service Center, CTC Mall, 5th Floor"
